trade_id,date,time,side,reason,price,position_before_pct,position_after_pct,delta_pct,realized_pnl,capital_after,final_score,legacy_score,trend_score,signal_score,norm_short,norm_long,regime,risk_scale,target_position_pct,direction,speed
44,2019-08-16,10:12:27,sell,trailing_stop,6.7593,37.02,21.35,-15.67,440.93,102622.6,-0.0481,-0.1151,-0.2185,0.1026,-0.2309,-0.2219,uptrend,1.0,2.02,down,0.4744
45,2019-08-19,09:30:52,buy,signal,6.9507,21.82,41.75,19.93,-20.57,103215.72,0.4213,0.4425,0.4682,0.424,0.3356,0.1848,uptrend,1.0,57.86,up,0.6511
46,2019-08-19,09:36:33,sell,trailing_stop,6.7693,41.11,21.12,-20.0,36.91,102077.17,0.0966,-0.0135,0.1097,0.15,-0.0365,-0.1596,uptrend,1.0,21.11,up,0.8685
47,2019-08-20,09:35:03,buy,signal,6.9907,21.65,36.35,14.69,-15.1,102761.03,0.2196,0.2266,0.2017,0.1759,0.1485,0.2714,uptrend,1.0,38.35,up,0.3084
48,2019-08-20,09:38:23,buy,signal,7.0607,36.58,50.96,14.38,-14.83,103118.78,0.4039,0.4187,0.4377,0.4292,0.7246,0.4286,uptrend,1.0,56.18,up,0.5323
49,2019-08-20,09:47:48,sell,signal,7.0193,50.82,35.58,-15.24,233.72,102803.79,-0.231,-0.2818,-0.2818,-0.5261,-0.536,-0.0998,uptrend,1.0,35.57,down,0.9162
50,2019-08-21,09:56:47,buy,signal,7.0307,35.61,53.24,17.63,-18.13,102835.96,0.3734,0.4006,0.348,0.45,0.6877,0.3656,uptrend,1.0,53.23,up,0.649
51,2019-08-21,10:30:22,sell,signal,6.9293,52.89,39.58,-13.3,-50.95,102042.17,-0.199,-0.3255,-0.2506,-0.2807,-0.413,-0.3795,uptrend,1.0,37.02,down,0.2807
52,2019-08-21,14:54:49,sell,signal,6.8393,39.27,25.19,-14.08,-242.3,101501.9,0.1513,0.0951,0.06,0.3274,0.1322,0.137,uptrend,1.0,25.18,up,0.7808
53,2019-09-02,09:41:35,sell,trailing_stop,6.7593,24.96,5.86,-19.1,-560.05,101181.64,-0.0048,-0.0835,0.05,-0.2052,-0.0516,-0.1384,uptrend,0.8,0.0,neutral,0.4881
54,2019-09-02,10:03:31,buy,signal,6.8307,5.92,35.93,30.01,-30.37,101209.63,0.5219,0.5062,0.5328,0.781,0.8724,0.4117,uptrend,0.8,54.91,up,0.9408
55,2019-09-03,09:59:01,buy,signal,7.0207,36.56,55.34,18.78,-19.18,102200.03,0.5278,0.5549,0.5291,0.7088,0.8604,0.4758,uptrend,0.8,55.33,up,0.7088
56,2019-09-03,10:40:44,sell,signal,7.0293,55.37,38.77,-16.61,276.32,102261.9,-0.0769,-0.0569,-0.294,-0.074,-0.0871,0.1028,uptrend,0.8,38.76,down,0.332
57,2019-09-03,14:48:36,sell,signal,7.0593,38.87,25.08,-13.78,288.61,102415.54,-0.2468,-0.3516,-0.3204,-0.3865,-0.631,-0.6162,uptrend,1.0,19.0,down,0.4092
58,2019-09-04,13:10:11,sell,trailing_stop,7.0793,25.14,5.14,-20.0,475.62,102465.77,0.0017,0.0488,-0.242,0.0687,0.0092,0.1168,uptrend,1.0,5.14,neutral,0.307
59,2019-09-04,14:00:18,buy,trailing_stop,7.0907,5.14,17.88,12.73,-13.05,102458.86,0.2715,0.268,0.2474,0.3167,0.5288,0.0851,uptrend,1.0,20.0,up,0.3511
60,2019-09-04,14:48:00,buy,signal,7.1707,18.04,31.02,12.98,-13.32,102650.86,0.2851,0.2946,0.2141,0.4007,0.3344,0.2301,uptrend,1.0,32.0,up,0.9509
61,2019-09-05,09:47:56,buy,signal,7.1807,31.05,44.48,13.43,-13.79,102680.11,0.3254,0.2837,0.3434,0.4363,0.443,0.1647,uptrend,1.0,48.59,up,0.6154
62,2019-09-05,09:54:44,sell,signal,7.1993,44.54,31.18,-13.36,137.78,102792.2,-0.1563,-0.215,-0.2582,-0.2621,-0.4384,-0.0988,uptrend,1.0,31.18,down,0.328
63,2019-09-05,10:53:11,buy,signal,7.2607,31.36,45.46,14.09,-14.52,103043.36,0.5161,0.6047,0.4863,0.5976,0.9081,0.8246,uptrend,1.0,67.04,up,0.5976
64,2019-09-05,13:01:27,sell,signal,7.3093,45.63,31.94,-13.68,267.96,103350.39,-0.0858,-0.092,-0.2153,-0.1941,-0.076,0.1541,uptrend,1.0,31.94,down,0.309
65,2019-09-09,13:18:10,buy,signal,7.2907,31.88,61.9,30.02,-30.98,103225.99,0.4664,0.5057,0.4643,0.5634,0.8303,0.4737,uptrend,1.0,62.23,up,0.5634
66,2019-09-09,13:20:40,sell,signal,7.2793,61.87,47.76,-14.11,93.61,103122.32,-0.0192,0.0255,-0.2796,0.0638,-0.0398,0.2333,uptrend,1.0,46.91,neutral,0.2112
67,2019-09-09,13:49:49,sell,signal,7.2093,47.52,34.17,-13.34,-43.94,102633.71,-0.386,-0.4961,-0.4562,-0.6587,-0.7894,-0.5787,uptrend,1.0,33.26,down,0.6587
68,2019-09-10,13:12:09,buy,signal,7.1907,34.11,48.96,14.84,-15.21,102519.68,0.3291,0.3453,0.2761,0.4392,0.6822,0.3112,uptrend,1.0,48.95,up,0.4392
69,2019-09-10,14:38:49,sell,signal,7.3293,49.44,34.61,-14.83,224.5,103480.05,-0.1129,-0.1506,-0.2118,-0.2308,-0.2458,-0.1017,uptrend,1.0,34.61,down,0.6549
70,2019-09-10,15:00:00,sell,signal,7.3093,34.55,20.0,-14.55,179.47,103365.79,0.2952,0.2968,0.2045,0.4767,0.5174,0.3528,uptrend,1.0,20.0,up,0.4767
71,2019-09-11,10:45:17,buy,signal,7.2207,19.8,40.49,20.68,-21.32,103087.79,0.2416,0.146,0.274,0.3696,0.2533,-0.0493,uptrend,1.0,40.48,up,0.996
72,2019-09-11,14:44:27,sell,signal,7.1493,40.25,26.33,-13.92,-151.34,102667.42,-0.4023,-0.5661,-0.4227,-0.6573,-0.9229,-0.8249,uptrend,1.0,25.92,down,0.6573
73,2019-09-12,14:12:38,buy,signal,7.1107,26.22,44.18,17.96,-18.41,102495.95,0.2798,0.2541,0.3016,0.2997,0.5236,0.18,uptrend,1.0,44.18,up,0.323
74,2019-09-12,14:53:04,sell,signal,7.0793,44.08,30.38,-13.7,-202.1,102289.45,-0.2068,-0.2963,-0.2662,-0.3696,-0.5684,-0.2956,uptrend,1.0,11.56,down,0.3696
75,2019-09-17,10:31:56,sell,trailing_stop,6.9493,29.99,9.49,-20.5,-695.82,101695.93,-0.0157,-0.1101,-0.0798,0.0331,-0.156,-0.1794,uptrend,0.8,0.0,neutral,0.4324
76,2019-12-06,09:32:35,buy,signal,7.3307,9.96,24.01,14.06,-14.37,102207.87,0.3463,0.3545,0.3535,0.3794,0.3508,0.4481,uptrend,0.8,42.45,up,0.3794
77,2019-12-06,09:48:48,buy,signal,7.4107,24.21,40.05,15.83,-16.22,102457.92,0.365,0.4497,0.2223,0.5168,0.735,0.5601,uptrend,0.8,43.78,up,0.5168
78,2019-12-09,09:54:04,buy,signal,7.4107,40.05,59.74,19.69,-20.16,102435.74,0.5898,0.6569,0.5177,0.8752,1.0469,0.7921,uptrend,0.8,59.73,up,0.8752
79,2019-12-09,09:57:34,sell,signal,7.3993,59.7,45.25,-14.45,79.76,102336.88,-0.0926,-0.1528,-0.1463,-0.2213,-0.2455,-0.0388,uptrend,0.8,41.79,down,0.2213
80,2019-12-09,10:03:08,sell,signal,7.3993,45.25,31.68,-13.57,74.87,102321.6,-0.1567,-0.1876,-0.2019,-0.4352,-0.3891,-0.1152,uptrend,1.0,31.67,down,0.9938
81,2019-12-10,13:41:11,buy,signal,7.3807,31.62,55.6,23.98,-24.5,102207.04,0.4849,0.5459,0.444,0.6213,0.8847,0.7487,uptrend,1.0,64.02,up,0.6213
82,2019-12-10,13:50:21,sell,signal,7.4393,55.8,39.06,-16.73,155.79,102650.13,-0.3354,-0.4377,-0.4167,-0.5552,-0.7687,-0.3493,uptrend,1.0,39.06,down,0.5552
83,2019-12-11,10:17:50,buy,signal,7.4407,39.06,53.57,14.5,-14.88,102633.76,0.4072,0.4942,0.347,0.4408,0.6283,0.5403,uptrend,1.0,56.51,up,0.4408
84,2019-12-11,10:41:10,sell,signal,7.4193,53.5,37.46,-16.05,59.4,102467.88,-0.1883,-0.2862,-0.159,-0.479,-0.4683,-0.3573,uptrend,1.0,37.45,down,0.479
85,2019-12-11,15:00:00,sell,signal,7.3293,37.17,14.37,-22.8,-200.22,101976.78,-0.2755,-0.4115,-0.3111,-0.4408,-0.6057,-0.4988,uptrend,1.0,0.0,down,0.4408
86,2019-12-12,10:00:25,buy,signal,7.4907,14.64,29.29,14.65,-14.98,102280.27,0.5885,0.7001,0.5125,0.7741,0.9762,0.9054,uptrend,1.0,74.04,up,0.7741
87,2019-12-12,10:07:53,buy,signal,7.5308,29.4,44.11,14.71,-15.06,102423.69,0.4606,0.5419,0.3606,0.6355,0.7381,0.7224,uptrend,1.0,61.67,up,0.6355
88,2019-12-12,10:11:47,sell,signal,7.5092,44.04,30.83,-13.21,59.2,102288.83,-0.1988,-0.266,-0.2651,-0.3938,-0.5715,-0.1011,uptrend,1.0,30.83,down,0.3938
89,2019-12-16,10:39:08,sell,trailing_stop,7.6392,31.2,11.2,-20.0,438.16,102812.13,-0.0245,-0.0049,-0.1818,-0.0809,-0.0694,0.128,uptrend,1.0,11.2,neutral,0.8466
90,2019-12-16,13:05:17,buy,signal,7.6808,11.25,25.74,14.49,-14.9,102856.03,0.1338,0.0889,0.0418,0.2664,0.1325,0.0953,uptrend,1.0,30.04,up,0.3358
91,2019-12-16,13:33:55,buy,signal,7.6908,25.76,40.72,14.95,-15.38,102873.58,0.4655,0.5154,0.3895,0.675,0.9294,0.5535,uptrend,1.0,62.15,up,0.675
92,2019-12-17,14:53:14,sell,signal,7.7092,40.78,26.56,-14.22,143.88,102966.4,-0.061,-0.1612,-0.1088,-0.0748,-0.3102,-0.2823,uptrend,1.0,11.28,down,0.2712
93,2019-12-18,09:40:11,buy,signal,7.7608,26.68,49.41,22.73,-23.44,103117.95,0.344,0.3628,0.3111,0.425,0.4519,0.3533,uptrend,1.0,50.39,up,0.425
94,2019-12-18,09:47:16,sell,signal,7.7392,49.35,36.28,-13.07,75.89,102971.81,-0.1392,-0.2122,-0.2333,-0.2087,-0.397,-0.2927,uptrend,1.0,34.54,down,0.2087
95,2019-12-18,14:46:24,sell,signal,7.6392,35.98,22.67,-13.31,-100.49,102474.2,-0.1982,-0.2821,-0.2336,-0.4111,-0.5705,-0.265,uptrend,1.0,22.67,down,0.4111
96,2019-12-19,10:00:46,buy,signal,7.5308,22.42,42.86,20.45,-20.88,102116.78,0.2662,0.2764,0.2446,0.2686,0.6162,0.2913,uptrend,1.0,42.86,up,0.2686
97,2019-12-19,10:30:12,sell,signal,7.5892,43.06,30.14,-12.91,-54.56,102450.99,-0.0795,-0.1277,-0.1587,-0.1761,-0.2513,0.0013,uptrend,1.0,30.14,down,0.1761
98,2019-12-20,14:50:08,sell,signal,7.4493,29.75,16.45,-13.31,-311.49,101866.44,-0.3507,-0.4364,-0.3867,-0.7105,-0.7166,-0.4351,uptrend,0.8,16.44,down,0.716
99,2019-12-23,09:58:11,buy,signal,7.4907,16.52,44.34,27.82,-28.35,101925.2,0.3728,0.3403,0.3684,0.5509,0.5976,0.2059,uptrend,0.8,44.33,up,1.0
100,2019-12-23,10:04:02,sell,signal,7.4992,44.37,31.87,-12.5,-75.72,101971.51,-0.0639,-0.1034,-0.087,-0.2707,-0.0607,-0.0208,uptrend,0.8,31.06,down,0.7231
101,2019-12-24,09:48:33,sell,trailing_stop,7.2893,31.26,0.0,-31.26,-1101.98,101026.77,0.1047,0.0308,0.0088,0.2847,0.2061,-0.0671,uptrend,0.52,0.0,up,1.0
102,2019-12-24,09:54:51,buy,signal,7.3207,0.0,22.06,22.06,-22.28,101002.26,0.0889,0.0326,0.0424,0.1189,0.048,-0.0268,uptrend,0.52,22.05,up,0.1289
103,2019-12-25,10:09:03,buy,signal,7.6808,22.89,36.9,14.01,-14.3,102082.17,0.5149,0.5316,0.4792,0.7773,0.8715,0.4025,uptrend,0.52,36.89,up,0.7773
104,2019-12-25,13:15:41,sell,trailing_stop,8.0992,38.15,22.59,-15.55,1267.6,104124.28,0.0422,-0.0201,-0.035,0.0972,-0.1626,-0.1202,uptrend,0.52,20.0,up,0.9833
105,2019-12-25,13:18:06,buy,signal,8.1708,22.74,38.17,15.43,-16.09,104309.89,0.5808,0.6038,0.6031,0.7851,0.9169,0.4816,uptrend,1.0,73.3,up,0.7851
106,2019-12-26,09:30:42,sell,trailing_stop,8.0492,37.83,22.31,-15.52,591.03,103707.31,0.2704,0.2388,0.3198,0.243,0.3696,-0.0976,uptrend,1.0,20.0,up,0.4236
107,2019-12-27,09:32:29,buy,signal,8.1108,22.44,35.59,13.16,-13.66,103864.7,0.1911,0.1725,0.1808,0.1654,0.2478,0.3947,uptrend,1.0,35.59,up,0.1654
108,2019-12-27,09:40:13,sell,trailing_stop,8.0292,35.36,20.0,-15.36,278.39,103482.56,0.2581,0.167,0.3135,0.3483,0.3081,-0.0122,uptrend,1.0,20.0,up,0.4893
109,2020-01-06,10:04:08,buy,signal,8.1208,20.18,41.64,21.46,-22.25,103690.07,0.5723,0.6668,0.5457,0.69,1.0192,0.6144,uptrend,1.0,72.48,up,0.69
110,2020-01-06,10:51:39,sell,signal,8.1692,41.79,29.26,-12.53,249.91,103941.61,-0.1233,-0.1675,-0.1864,-0.3035,-0.1465,-0.232,uptrend,1.0,29.25,down,0.6436
111,2020-01-07,09:36:43,buy,signal,8.3008,29.58,45.49,15.9,-16.6,104407.2,0.558,0.6042,0.5836,0.6783,0.8405,0.6027,uptrend,1.0,71.1,up,0.6783
112,2020-01-07,09:52:06,sell,signal,8.3492,45.64,31.95,-13.69,399.71,104677.53,-0.2407,-0.3363,-0.2925,-0.4371,-0.5869,-0.2341,uptrend,1.0,31.94,down,0.4371
113,2020-01-07,10:18:41,buy,signal,8.3108,31.84,45.95,14.11,-14.74,104501.11,0.4319,0.4283,0.4084,0.636,0.8487,0.3504,uptrend,1.0,58.89,up,0.636
114,2020-01-07,10:30:10,sell,signal,8.2992,45.92,32.15,-13.77,209.15,104427.5,-0.2007,-0.2814,-0.2857,-0.3302,-0.5078,-0.1872,uptrend,1.0,32.14,down,0.4198
115,2020-01-08,10:03:37,buy,signal,8.2708,32.07,50.07,18.0,-18.77,104285.52,0.3406,0.3783,0.2801,0.4254,0.7144,0.4319,uptrend,1.0,50.06,up,0.4254
116,2020-01-08,10:15:34,sell,signal,8.2792,50.1,37.41,-12.69,103.22,104334.09,-0.1758,-0.2373,-0.2741,-0.3012,-0.415,-0.1426,uptrend,1.0,35.07,down,0.3012
117,2020-01-09,14:53:25,sell,signal,8.2492,37.32,11.65,-25.67,111.99,104163.25,-0.2718,-0.3602,-0.3271,-0.5097,-0.69,-0.4269,uptrend,1.0,10.97,down,0.5097
118,2020-01-10,09:42:04,buy,signal,8.2508,11.65,27.5,15.84,-16.5,104145.1,0.2462,0.214,0.2823,0.2216,0.2207,0.0985,uptrend,1.0,40.93,up,0.3841
119,2020-01-10,13:14:16,buy,signal,8.0508,27.01,41.46,14.44,-14.94,103434.42,0.2637,0.1474,0.3379,0.3844,0.4806,-0.028,uptrend,1.0,42.61,up,0.5496
120,2020-01-13,10:29:53,buy,signal,8.1608,41.79,57.48,15.7,-16.32,104002.39,0.5541,0.6108,0.5212,0.7553,1.0058,0.5983,uptrend,1.0,70.72,up,0.7553
121,2020-01-13,13:21:57,sell,signal,8.1892,57.57,40.31,-17.27,31.46,104202.38,-0.1614,-0.2529,-0.2896,-0.145,-0.618,-0.3308,uptrend,1.0,40.3,down,0.6191
122,2020-01-13,13:58:11,buy,signal,8.2108,40.37,54.63,14.27,-14.87,104288.59,0.4778,0.4533,0.504,0.6845,0.8543,0.3765,uptrend,1.0,63.33,up,0.7107
123,2020-01-13,14:08:13,sell,signal,8.1692,54.51,38.81,-15.7,-34.38,103993.03,-0.2857,-0.4359,-0.3237,-0.4235,-0.7101,-0.3836,uptrend,1.0,38.16,down,0.4235
124,2020-01-15,13:33:47,buy,signal,8.0208,38.37,55.94,17.58,-18.14,103232.15,0.4013,0.365,0.3888,0.6325,0.825,0.1249,uptrend,1.0,55.93,up,0.6325
125,2020-01-15,14:47:24,sell,signal,8.1292,56.28,43.31,-12.97,-12.8,104009.41,-0.2611,-0.4058,-0.2795,-0.4239,-0.6558,-0.7073,uptrend,1.0,21.0,down,0.4239
126,2020-01-15,14:56:08,sell,trailing_stop,8.1492,43.37,27.72,-15.65,24.54,104102.3,0.3376,0.3567,0.2635,0.4886,0.5423,0.4994,uptrend,0.8,23.87,up,0.4886
127,2020-01-16,09:48:52,sell,trailing_stop,8.1092,27.62,7.62,-20.0,-70.99,103937.8,-0.0133,-0.0972,-0.1459,0.1409,-0.0194,-0.0367,uptrend,1.0,7.62,neutral,0.3794
128,2020-01-16,13:49:01,buy,signal,8.2408,7.73,23.57,15.84,-16.48,104046.63,0.2508,0.2855,0.1965,0.241,0.4615,0.5396,uptrend,1.0,41.37,up,0.2983
129,2020-01-16,13:53:51,buy,signal,8.2608,23.62,37.75,14.14,-14.71,104089.97,0.3027,0.2633,0.3508,0.3285,0.4102,0.1787,uptrend,1.0,46.39,up,0.4441
130,2020-01-17,14:14:07,buy,signal,8.1008,37.29,51.66,14.37,-14.84,103312.45,0.3571,0.3554,0.331,0.4871,0.5315,0.1986,uptrend,1.0,51.65,up,0.4871
131,2020-01-17,14:34:47,sell,signal,8.0792,51.6,36.12,-15.48,-236.42,103163.1,-0.1507,-0.1881,-0.2292,-0.345,-0.3388,-0.1243,uptrend,1.0,36.12,down,0.5137
132,2020-01-20,09:57:03,buy,signal,8.0508,36.04,56.16,20.12,-20.72,103001.94,0.5394,0.5656,0.5075,0.7966,0.9371,0.4957,uptrend,0.8,56.15,up,0.7966
133,2020-01-20,10:17:46,sell,signal,8.0692,56.22,42.96,-13.26,-134.77,103130.61,0.0206,0.0795,-0.2218,0.0762,0.0912,0.1788,uptrend,0.8,42.96,neutral,0.5916
134,2020-01-20,14:36:22,sell,signal,8.2392,43.47,30.43,-13.04,148.82,104049.03,-0.0901,-0.0732,-0.2983,-0.11,-0.2461,0.1791,uptrend,0.8,30.43,down,0.9306
135,2020-01-21,14:28:34,buy,signal,8.0708,29.99,45.71,15.72,-16.25,103377.84,0.2956,0.2794,0.2847,0.3704,0.4799,0.1761,uptrend,1.0,45.71,up,0.845
136,2020-01-21,14:48:01,sell,signal,8.0392,45.62,31.99,-13.63,-149.59,103186.68,0.0395,-0.0053,0.0378,-0.0913,0.1222,0.0348,uptrend,1.0,31.98,neutral,0.4152
